OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
155,Polygon,381025013,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003796,0.000001
156,Polygon,381025014,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.006955,0.000002
157,Polygon,381025015,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003551,0
178,Polygon,381027037,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.002729,0
185,Polygon,379001006,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.030606,0.000039
187,Polygon,379002016,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.005456,0.000001
191,Polygon,379010089,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.007848,0.000002
192,Polygon,379010090,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.007487,0.000003
194,Polygon,381022086,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001031,0
195,Polygon,381022087,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001042,0
196,Polygon,381022088,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001034,0
197,Polygon,381031021,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001188,0
201,Polygon,381027014,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.002819,0
205,Polygon,381022107,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001121,0
206,Polygon,379009007,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.008977,0.000003
208,Polygon,379009009,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.000976,0
209,Polygon,381022115,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001157,0
210,Polygon,381022116,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001248,0
211,Polygon,381022117,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001299,0
212,Polygon,381022118,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001284,0
213,Polygon,381022119,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001304,0
214,Polygon,381022120,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00131,0
216,Polygon,379009029,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004082,0.000001
217,Polygon,379009030,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005059,0.000002
218,Polygon,381024009,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001415,0
219,Polygon,381024010,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001519,0
220,Polygon,381024011,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001414,0
221,Polygon,381024012,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001387,0
222,Polygon,381024013,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001411,0
223,Polygon,381024014,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001458,0
224,Polygon,381024015,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001556,0
225,Polygon,381020049,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001206,0
226,Polygon,381012002,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00147,0
227,Polygon,381012004,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001268,0
232,Polygon,381003059,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001354,0
233,Polygon,381003061,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002536,0
234,Polygon,381003062,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002064,0
235,Polygon,381003064,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00136,0
236,Polygon,381003065,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003329,0
237,Polygon,381003066,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002294,0
238,Polygon,381003067,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001812,0
239,Polygon,381003068,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00196,0
